id,type,amount,category,note,date,account,images
sample_0,income,18000000,Lương,Lương tháng,2026-05-26,Tiền mặt,
sample_1,expense,87000,Di chuyển,Giao dịch mẫu,2026-05-25,Ngân hàng,
sample_2,expense,124000,Mua sắm,Giao dịch mẫu,2026-05-24,Ví điện tử,
sample_3,expense,161000,Nhà cửa,Giao dịch mẫu,2026-05-23,Tiền mặt,
sample_4,expense,198000,Giải trí,Giao dịch mẫu,2026-05-22,Ngân hàng,
sample_5,expense,235000,Ăn uống,Giao dịch mẫu,2026-05-21,Ví điện tử,
sample_6,expense,272000,Di chuyển,Giao dịch mẫu,2026-05-20,Tiền mặt,
sample_7,expense,309000,Mua sắm,Giao dịch mẫu,2026-05-19,Ngân hàng,
sample_8,expense,346000,Nhà cửa,Giao dịch mẫu,2026-05-18,Ví điện tử,
sample_9,income,1200000,Đầu tư,Thu nhập đầu tư,2026-05-17,Tiền mặt,
sample_10,expense,420000,Ăn uống,Giao dịch mẫu,2026-05-16,Ngân hàng,
sample_11,expense,457000,Di chuyển,Giao dịch mẫu,2026-05-15,Ví điện tử,
sample_12,expense,494000,Mua sắm,Giao dịch mẫu,2026-05-14,Tiền mặt,
sample_13,expense,531000,Nhà cửa,Giao dịch mẫu,2026-05-13,Ngân hàng,
sample_14,expense,568000,Giải trí,Giao dịch mẫu,2026-05-12,Ví điện tử,
sample_15,income,18000000,Lương,Lương tháng,2026-05-11,Tiền mặt,
sample_16,expense,642000,Di chuyển,Giao dịch mẫu,2026-05-10,Ngân hàng,
sample_17,expense,679000,Mua sắm,Giao dịch mẫu,2026-05-09,Ví điện tử,
sample_18,income,1200000,Đầu tư,Thu nhập đầu tư,2026-05-08,Tiền mặt,
sample_19,expense,753000,Giải trí,Giao dịch mẫu,2026-05-07,Ngân hàng,
sample_20,expense,790000,Ăn uống,Giao dịch mẫu,2026-05-06,Ví điện tử,
sample_21,expense,827000,Di chuyển,Giao dịch mẫu,2026-05-05,Tiền mặt,
sample_22,expense,864000,Mua sắm,Giao dịch mẫu,2026-05-04,Ngân hàng,
sample_23,expense,51000,Nhà cửa,Giao dịch mẫu,2026-05-03,Ví điện tử,
sample_24,expense,88000,Giải trí,Giao dịch mẫu,2026-05-02,Tiền mặt,
sample_25,expense,125000,Ăn uống,Giao dịch mẫu,2026-05-01,Ngân hàng,
sample_26,expense,162000,Di chuyển,Giao dịch mẫu,2026-04-30,Ví điện tử,
sample_27,income,1200000,Đầu tư,Thu nhập đầu tư,2026-04-29,Tiền mặt,
sample_28,expense,236000,Nhà cửa,Giao dịch mẫu,2026-04-28,Ngân hàng,
sample_29,expense,273000,Giải trí,Giao dịch mẫu,2026-04-27,Ví điện tử,
sample_30,income,18000000,Lương,Lương tháng,2026-04-26,Tiền mặt,
sample_31,expense,347000,Di chuyển,Giao dịch mẫu,2026-04-25,Ngân hàng,
sample_32,expense,384000,Mua sắm,Giao dịch mẫu,2026-04-24,Ví điện tử,
sample_33,expense,421000,Nhà cửa,Giao dịch mẫu,2026-04-23,Tiền mặt,
sample_34,expense,458000,Giải trí,Giao dịch mẫu,2026-04-22,Ngân hàng,
sample_35,expense,495000,Ăn uống,Giao dịch mẫu,2026-04-21,Ví điện tử,
sample_36,income,1200000,Đầu tư,Thu nhập đầu tư,2026-04-20,Tiền mặt,
sample_37,expense,569000,Mua sắm,Giao dịch mẫu,2026-04-19,Ngân hàng,
sample_38,expense,606000,Nhà cửa,Giao dịch mẫu,2026-04-18,Ví điện tử,
sample_39,expense,643000,Giải trí,Giao dịch mẫu,2026-04-17,Tiền mặt,
sample_40,expense,680000,Ăn uống,Giao dịch mẫu,2026-04-16,Ngân hàng,
